site_name,site_address,site_phone,site_fax,site_city,site_state,site_zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"DHS Family Community Resource Center in Jackson County","342 North St","(618) 687-1705","(618) 684-2732",Murphysboro,IL," 62966",37.765427,-89.327237,1,range_interpolation,342,"N St",,,Murphysboro,IL,"Jackson County",62966,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Jefferson County","333 Potomac Boulevard, Suite F","(618) 242-1040","(618) 242-9241","Mount Vernon",IL," 62864",38.31834,-88.955953,0.6,street_center,,"Potomac Blvd",Ste,F,"Mount Vernon",IL,"Jefferson County",62864,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Jersey County","110 North Jefferson Street","(618) 498-2105","(618) 498-7344",Jerseyville,IL," 62052",39.119845,-90.326564,1,range_interpolation,110,"N Jefferson St",,,Jerseyville,IL,"Jersey County",62052,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Kane County/Aurora","361 W Old Indian Trail","(630) 844-7416","(630) 844-7499",Aurora,IL," 60506",41.780812,-88.320382,1,range_interpolation,361,"W Old Indian Trl",,,Aurora,IL,"Kane County",60506,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Kane County/Elgin","700 S State St","(847) 931-2015","(847) 931-2727",Elgin,IL," 60123",42.018317,-88.289582,0.9,rooftop,700,"S State St",,,Elgin,IL,"Kane County",60120,US,Kane
"DHS Family Community Resource Center in Kankakee County","285 N Schuyler Ave","(815) 939-4545","(815) 939-1236",Kankakee,IL," 60901",41.122781,-87.863706,1,rooftop,285,"N Schuyler Ave",,,Kankakee,IL,"Kankakee County",60901,US,Kankakee
"DHS Family Community Resource Center in Knox County","477 East Main Street, Suite 100","(309) 342-8144","(309) 342-4518",Galesburg,IL," 61401",40.947582,-90.363203,1,range_interpolation,477,"E Main St",Ste,100,Galesburg,IL,"Knox County",61401,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Lake County","2000 N Lewis Ave","(847) 263-7778","(847) 336-5616",Waukegan,IL," 60087",42.388184,-87.855855,1,rooftop,2000,"N Lewis Ave",,,Waukegan,IL,"Lake County",60087,US,Lake
"DHS Family Community Resource Center in LaSalle County","1560 First Avenue","(815) 433-1572","(815) 433-2392",Ottawa,IL," 61350",41.323522,-88.836788,1,range_interpolation,1560,"1st Ave",,,Ottawa,IL,"LaSalle County",61350,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Logan County","1550 4th Street","(217) 735-2306","(217) 732-2876",Lincoln,IL," 62656",40.146198,-89.3856,1,rooftop,1550,"4th St",,,Lincoln,IL,"Logan County",62656,US,Logan
"DHS Family Community Resource Center in Macon County","707 E Wood St","(217) 362-6500","(217) 362-6500",Decatur,IL," 62523",39.839992,-88.947105,0.9,rooftop,707,"E Wood St",,,Decatur,IL,"Macon County",62521,US,Macon
"DHS Family Community Resource Center in Macoupin County","340 E. Wilson","(217) 854-3145","(217) 854-9037",Carlinville,IL," 62626",39.293485,-89.877147,1,rooftop,340,"E Wilson",,,Carlinville,IL,"Macoupin County",62626,US,Macoupin
"DHS Family Community Resource Center in Madison County/East Alton","608 W St Louis Ave","(618) 258-1660","(618) 258-7275","East Alton",IL," 62024",38.88033,-90.11122,0.33,place,,,,,"East Alton",IL,"Madison County",62024,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Madison County/Granite City","1925 Madison Avenue","(618) 877-9200","(618) 877-9203","Granite City",IL," 62040",38.698767,-90.147946,1,range_interpolation,1925,"Madison Ave",,,"Granite City",IL,"Madison County",62040,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Marion County","800 S Locust St","(618) 532-1966","(618) 532-4957",Centralia,IL," 62801",38.517998,-89.137141,1,range_interpolation,800,"S Locust St",,,Centralia,IL,"Marion County",62801,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Mason County","323 West Main Street","(309) 543-3329","(309) 543-6931",Havana,IL," 62644",40.299942,-90.064882,1,range_interpolation,323,"W Main St",,,Havana,IL,"Mason County",62644,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Massac County","2301 Metropolis Street","(618) 524-2631","(618) 524-3499",Metropolis,IL," 62960",37.169532,-88.725072,1,rooftop,2301,"Metropolis St",,,Metropolis,IL,"Massac County",62960,US,Massac
"DHS Family Community Resource Center in McDonough County","640 Sherman Dr, Suite 309, 3rd Floor/Seal Hall","(309) 833-4127","(309) 837-1659",Macomb,IL," 61455",40.465693,-90.684515,0.72,nearest_rooftop_match,600,"N Sherman Dr",Fl,SEAL,Macomb,IL,"McDonough County",61455,US,Mcdonough
"DHS Family Community Resource Center in McHenry County","512 Clay Street","(815) 338-0234","(815) 338-0396",Woodstock,IL," 60098",42.319254,-88.446485,1,range_interpolation,512,"Clay St",,,Woodstock,IL,"McHenry County",60098,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in McLean County","501 West Washington Street","(309) 451-6000","(309) 451-6012",Bloomington,IL," 61701",40.480103,-88.997831,1,rooftop,501,"W Washington St",,,Bloomington,IL,"McLean County",61701,US,Mclean
"DHS Family Community Resource Center in Mid-Illinois","1550 Douglas St","(217) 345-2188","(217) 345-2190",Charleston,IL," 61920",39.484718,-88.196051,1,range_interpolation,1550,"Douglas St",,,Charleston,IL,"Coles County",61920,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Montgomery County","210 E Fairground Ave","(217) 532-3957","(217) 532-5895",Hillsboro,IL," 62049",39.151433,-89.494275,0.9,range_interpolation,210,"W Fairground Ave",,,Hillsboro,IL,"Montgomery County",62049,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Morgan County","45 S Central Park Plaza","(217) 245-5164","(217) 245-4589",Jacksonville,IL," 62650",39.733396,-90.228686,1,rooftop,45,"S Central Park Plz",,,Jacksonville,IL,"Morgan County",62650,US,Morgan
"DHS Family Community Resource Center in Ogle County","1001 Pines Rd","(815) 732-2166","(815) 732-4223",Oregon,IL," 61061",42.004462,-89.342279,0.9,range_interpolation,1001,"Pines Rd",,,Oregon,IL,"Ogle County",61061,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Peoria County","211 Fulton Street, Suite 300","(309) 671-8100","(309) 671-8133",Peoria,IL," 61602",40.689984,-89.590525,1,rooftop,211,"Fulton St",Ste,300,Peoria,IL,"Peoria County",61602,US,Peoria
"DHS Family Community Resource Center in Pulaski County","422 S Blanche St","(618) 745-9411","(618) 745-6869",Mounds,IL," 62964",37.107921,-89.198402,1,range_interpolation,422,"S Blanche St",,,Mounds,IL,"Pulaski County",62964,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Randolph County","870 Lehmen Drive","(618) 826-4559","(618) 826-3496",Chester,IL," 62233",37.922091,-89.834592,1,range_interpolation,870,"Lehmen Dr",,,Chester,IL,"Randolph County",62233,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Richland County","1406 Martin St","(618) 392-3151","(618) 392-3623",Olney,IL," 62450",38.713683,-88.089963,1,range_interpolation,1406,"Martin St",,,Olney,IL,"Richland County",62450,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Rock Island County","500 42nd St, 2nd Floor","(309) 794-9530","(309) 794-1404","Rock Island",IL," 61201",41.507251,-90.542722,1,range_interpolation,500,"42nd St",Ste,2,"Rock Island",IL,"Rock Island County",61201,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Saline County","320 Raymond Street","(618) 253-7161","(618) 252-0514",Harrisburg,IL," 62946",37.733268,-88.536471,1,range_interpolation,320,"Raymond St",,,Harrisburg,IL,"Saline County",62946,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Sangamon County","600 E Ash St, Building 500, 1st Floor","(217) 782-0400","(217) 524-6955",Springfield,IL," 62703",39.779074,-89.648466,1,range_interpolation,600,"E Ash St",,,Springfield,IL,"Sangamon County",62703,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in St Clair/East St Louis","225 N 9th St","(618) 583-2300","(618) 583-2414","East St Louis",IL," 62201",38.623618,-90.155035,1,rooftop,225,"N 9th St",,,"East Saint Louis",IL,"St. Clair County",62201,US,"St Clair"
"DHS Family Community Resource Center in Stephenson County","1840 S West Ave","(815) 232-6121","(815) 232-7625",Freeport,IL," 61032",42.279671,-89.63176,0.9,range_interpolation,1840,"Southwest Ave",,,Freeport,IL,"Stephenson County",61032,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Tazewell County","200 South 2nd Street, Suite 20","(309) 347-4184","(309) 347-1041",Pekin,IL," 61554",40.568104,-89.653319,1,range_interpolation,200,"S 2nd St",Ste,20,Pekin,IL,"Tazewell County",61554,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Union County","1000 North Main Street","(618) 833-2118","(618) 833-5608",Anna,IL," 62906",37.475863,-89.244874,1,range_interpolation,1000,"N Main St",,,Anna,IL,"Union County",62906,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Vermilion County","220 South Bowman Avenue","(217) 442-4003","(217) 442-3456",Danville,IL," 61832",40.123578,-87.611824,1,range_interpolation,220,"S Bowman Ave",,,Danville,IL,"Vermilion County",61832,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Wabash County","2517 West 9th Street, Suite A","(618) 262-5179","(618) 262-7522","Mount Carmel",IL," 62863",38.412134,-87.775268,0.6,street_center,,"State Rte 15",Ste,A,"Mount Carmel",IL,"Wabash County",62863,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Warren County","1245 South Main Street","(309) 734-2159","(309) 734-6075",Monmouth,IL," 61462",40.897552,-90.648185,1,rooftop,1245,"S Main St",,,Monmouth,IL,"Warren County",61462,US,Warren
"DHS Family Community Resource Center in Whiteside County","2605 Woodlawn Road","(815) 632-4045","(815) 632-4057",Sterling,IL," 61081",41.800655,-89.665413,1,rooftop,2605,"Woodlawn Rd",,,Sterling,IL,"Whiteside County",61081,US,Whiteside
"DHS Family Community Resource Center in Will County","45 E Webster St","(815) 740-5350","(815) 740-5313",Joliet,IL," 60432",41.528928,-88.080679,1,rooftop,45,"E Webster St",,,Joliet,IL,"Will County",60432,US,Will
"DHS Family Community Resource Center in Williamson County","1107 West Deyoung Street, Suite 20","(618) 997-6591","(618) 993-8906",Marion,IL," 62959",37.740588,-88.937609,1,range_interpolation,1107,"W Deyoung St",Ste,20,Marion,IL,"Williamson County",62959,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Family Community Resource Center in Winnebago County","171 Executive Pkwy, Suite 101","(815) 987-7155","(815) 987-3464",Rockford,IL," 61107",42.270137,-88.999186,1,range_interpolation,171,"Executive Pkwy",Ste,101,Rockford,IL,"Winnebago County",61107,US,"TIGER/Line® dataset from the US Census Bureau"
"DHS Medical Field Operations Central - Temporarily Closed","1642 W 59th St","(773) 863-6339","(773) 863-6307",Chicago,IL," 60636",41.787045,-87.666164,1,rooftop,1642,"W 59th St",,,Chicago,IL,"Cook County",60636,US,Cook
"DHS Medical Field Operations Downstate - Temporarily Closed","707 E Wood St","(217) 362-6515","(217) 362-6515",Decatur,IL," 62523",39.839992,-88.947105,0.9,rooftop,707,"E Wood St",,,Decatur,IL,"Macon County",62521,US,Macon
"DHS Medical Field Operations North - Temporarily Closed","1112 S Wabash Ave, 4th Floor","(312) 793-8000","(312) 793-4566",Chicago,IL," 60605",41.868794,-87.626356,1,rooftop,1112,"S Wabash Ave",Fl,4,Chicago,IL,"Cook County",60605,US,"City of Chicago"
"DHS Medical Management Unit - Temporarily Closed","527 S Wells St","(312) 793-2152","(312) 814-1651",Chicago,IL," 60607",41.875208,-87.633334,1,rooftop,527,"S Wells St",,,Chicago,IL,"Cook County",60607,US,"City of Chicago"
